"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ADRA2A",-2.2801522436389,7.61174490106222,-10.8931886390669,1.46397846072552e-21,2.41166299475609e-20,38.1388257706904
"PRR15L",2.06384186185683,7.69721481627371,10.7974757845217,2.75915541746026e-21,4.44880868848011e-20,37.5095706272089
"VLDLR",-2.45546209625723,7.05815584696189,-10.7788184965777,3.12157060795248e-21,5.0026059335594e-20,37.3870458008025
"DSP",2.88556173743751,10.8481941814079,10.7609838272535,3.51228399725907e-21,5.58053348450672e-20,37.2699655321689
"ITM2A",-2.10645035194674,8.56137345697489,-10.6948885053404,5.43559587366987e-21,8.57344714898039e-20,36.8364325542803
"FOXA1",2.99298777799264,7.20362005904736,10.6617903395902,6.762851998343e-21,1.04759644141397e-19,36.6195559650774
"MEST",-2.31108919429485,9.81260605567489,-10.6059078940454,9.77658494363455e-21,1.50011642025201e-19,36.2537280988754
"ZG16B",2.59149104459484,9.07056373019307,10.4771236624629,2.28217410785651e-20,3.38957689863676e-19,35.4123558676839
"GALNT7",2.10965564765625,8.32100573525305,10.4090789799843,3.56830304310822e-20,5.19284100925873e-19,34.9688009025719
"MUC1",2.32697199743409,8.77000994037855,10.3828370656966,4.23881540030352e-20,6.10022868196675e-19,34.7979306159588
"RP11-532F12.5",2.07074034512995,7.44916709965466,10.3380785649636,5.68449922702903e-20,8.07335716258904e-19,34.5067411769685
"APOBEC3B",2.30584782800925,5.92915865178641,10.2919709117075,7.68854083690818e-20,1.07201878199683e-18,34.2071080776555
"S100A14",2.32915993922683,8.29877617717232,10.2680993938272,8.98855486546549e-20,1.23996206916692e-18,34.0521129510219
"CDH1",2.04235162502324,8.32018789793562,10.138532258998,2.09533294634996e-19,2.81277321370929e-18,33.2125033219839
"ADM",-2.24307656228418,8.56904470125035,-10.1174645699361,2.40384913029771e-19,3.20702626519985e-18,33.0762530684334
"CD24",2.66440550749007,10.7259738940793,9.88861123609234,1.063635712836e-18,1.3365977917061e-17,31.6013366496138
"GATA3",2.89800616154206,9.66979419800385,9.78303484278752,2.10563586237326e-18,2.57133199712768e-17,30.9242408940348
"FOSB",-2.6223770336811,8.1161198840796,-9.75961272995514,2.4493937268139e-18,2.96048230612395e-17,30.7743250427977
"CLDN3",2.16118132051271,8.49483526994564,9.71799442414822,3.20363511494521e-18,3.81526490156915e-17,30.5082149814589
"LINC01279",-2.49737105839829,8.59184629934616,-9.70386765259324,3.50899632748199e-18,4.15984304356563e-17,30.417967596316
"C2orf40",-2.4118644984205,7.2208802945397,-9.64287825861918,5.19627824468865e-18,6.03875451157595e-17,30.0288159474646
"IRX5",2.13334757945942,8.57642850938335,9.42071544175822,2.15779994221123e-17,2.34200677674281e-16,28.6180038149655
"ISG15",2.03870084738015,9.97187023475257,9.41199666262813,2.2813121867916e-17,2.46986768112942e-16,28.562859480878
"IRX3",2.02135401501084,10.0373959279541,9.26384261709485,5.85921018764298e-17,6.05078818184515e-16,27.6285088808141
"TOX3",2.15494206178212,6.79062403271407,9.21023229528319,8.23271232471275e-17,8.39503838861715e-16,27.2916919737995
"CHMP4C",2.01186275480648,7.9383358405245,9.08962535022495,1.76506426799625e-16,1.7318442375555e-15,26.5365399067894
"HIST1H2BG /// HIST1H2BJ",2.01969219032722,6.57332297559914,9.01296392342038,2.86088009276834e-16,2.74074424237829e-15,26.0584541179756
"TGFBR3",-2.27060555889169,8.59107058576852,-8.77832090447027,1.24293858614499e-15,1.11580814569489e-14,24.6048182737134
"IFI6",2.0756031053329,9.92857385476613,8.68994918327525,2.15317668027156e-15,1.87586486487282e-14,24.0612901825413
"FOS",-2.31515762371393,10.2418702700584,-8.37080162383628,1.53784611718833e-14,1.22772327473688e-13,22.1175624829499
"CXCL10",2.16206782986813,8.16105979271022,8.1513573299761,5.83861312278442e-14,4.3633297033313e-13,20.7996037036543
"PKIB",2.11660764895589,6.80272956874961,8.12919399935087,6.6751297760247e-14,4.95425155074766e-13,20.6673788118952
"MMP1",2.99419068036467,5.91215120673598,8.04544145377072,1.10553879685024e-13,8.04428201900952e-13,20.1692289336902
"CLGN",2.07429649077863,5.54730774033194,8.03021632980733,1.21142996921115e-13,8.78033078187043e-13,20.0789314767928
"AGR2",2.72394897470749,9.34954565828006,7.8201424910816,4.2454789429806e-13,2.89903009778175e-12,18.841409630277
"MLPH",2.24861284009058,10.6013995751173,7.53072025764796,2.32885252939476e-12,1.46396293869605e-11,17.1632699457845
"APOD",-2.56736363015632,10.6942754879282,-7.49944246430244,2.79396450747353e-12,1.74200063744063e-11,16.9838609118525
"CEACAM6",2.72306883805763,7.65030533189865,7.46939764900277,3.32682288485533e-12,2.0522816217029e-11,16.8118925130988
"MMP9",2.10795849992836,8.4101123702314,7.27058195884329,1.04670626303252e-11,6.08204744871311e-11,15.6832179689377
"SERPINA3",2.30020851424323,11.099474373075,6.85641129672797,1.08188967760058e-10,5.5487988561569e-10,13.3865853839943
"BMPR1B",2.34995403860488,6.48543347790186,6.80094055640144,1.47093066724367e-10,7.44992235329306e-10,13.0848945164265
"ANKRD30A",2.80747059721563,9.12207217415415,6.35848569521751,1.62030236320325e-09,7.22540191574763e-09,10.7319150069193
"CYP2B6 /// CYP2B7P",2.44967980877513,8.31769240990745,5.85557518486857,2.20198127622471e-08,8.50965136846471e-08,8.18116500154446
"TFF1",2.66237402557283,9.81502544883686,5.76197609726379,3.52608974127658e-08,1.33252317122304e-07,7.72200552288227
"NAT1",2.24299639568127,9.46341036368181,5.6953591178866,4.91526330979502e-08,1.82508675699225e-07,7.39831449220254
"AGR3",2.77005512697251,9.86657570323245,5.61019452408148,7.48841629064092e-08,2.70696552127012e-07,6.98831906267749
"S100A7",2.14457557113073,6.18396605137196,5.31792131201433,3.07681419494267e-07,1.02436842945757e-06,5.61474593463075
"CXCL13",2.10434817924747,6.24388696104622,5.31352830476874,3.14166058749611e-07,1.04301524517358e-06,5.59450498077608
