"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MAB21L1 /// MIR548F5",-2.22100883448878,5.23161115266532,-15.7609414005689,9.17563207606081e-36,6.07698367241558e-34,70.6629463749986
"HBB",-2.99117409576847,9.34389201903766,-15.7447914948663,1.02177087750311e-35,6.73279581769941e-34,70.5558884783279
"RRM2",3.56802125105465,7.73887018149377,15.6928860271085,1.4439629990677e-35,9.46670893479686e-34,70.2116846935902
"CNRIP1",-2.12918788603549,8.24813780981668,-15.6794700109161,1.57903615881283e-35,1.03002353656027e-33,70.1226882926231
"PDK4",-2.24280680411951,6.49521897934622,-15.6295066860866,2.20328303776294e-35,1.42292622453735e-33,69.7911448724348
"WASF3",-2.6007432185365,7.25177723812141,-15.6144506361728,2.43602811915005e-35,1.56544955518252e-33,69.6912040991415
"GINS1",2.62600343803416,6.36327456446952,15.5900870858549,2.86595116361553e-35,1.81212435842113e-33,69.5294490644155
"ESRP1",3.07302411873339,8.63033954225012,15.5801905487673,3.06158348878942e-35,1.91992344289737e-33,69.4637325623099
"MCAM",-2.43727549949362,8.86039287567423,-15.5101023455018,4.88789434723067e-35,3.02141697720959e-33,68.998139310797
"CKS2",2.89968129962549,8.64039144296302,15.5004009928526,5.21501564238856e-35,3.19321311574745e-33,68.9336686127296
"MAMDC2",-3.13171163662857,6.31470877088057,-15.4108271318403,9.48729341361424e-35,5.64206647164419e-33,68.3381209046211
"ADAMTS5",-2.27389333793526,6.49028641652882,-15.4071494579518,9.72338152424308e-35,5.73723707119088e-33,68.3136585240229
"MT1M",-2.4369027979507,6.34754234830545,-15.3938367323976,1.06282694739518e-34,6.21466513699858e-33,68.2251007529261
"CRYAB",-3.47190606355042,9.48815866479611,-15.3263664661015,1.66875941200954e-34,9.71397575215063e-33,67.7761146146447
"LOC401052",-2.18067953067189,6.02271910676559,-15.2663653388142,2.49307687258725e-34,1.42566655872489e-32,67.3766034408584
"GRHL2",2.10730521853589,7.67556365628078,15.2307966988411,3.16321998342654e-34,1.78529385238522e-32,67.1396738382779
"DPT",-3.17658273058523,8.63966577614054,-15.217621676696,3.45490225100783e-34,1.93310716035917e-32,67.0518939344135
"RSPO3",-2.42601785926762,6.60566602767762,-15.1294728164642,6.2350528222292e-34,3.42954324937955e-32,66.4643406328815
"ACSL1",-2.9443759475114,9.06328746074325,-15.1080897698834,7.19560273375304e-34,3.9082058195334e-32,66.3217475673682
"SDC1",2.85909476021703,8.90934199531764,15.0672524665707,9.46103852038628e-34,5.09600585199728e-32,66.0493545826257
"UBE2C",2.47569426741193,8.16027589817499,15.0142367990945,1.34995327786273e-33,7.18186209013775e-32,65.6955967593361
"GPX3",-3.55731336394967,9.81872121377649,-14.9279600262297,2.40819722748001e-33,1.26561976558373e-31,65.1195861661444
"EZH2",2.53377668518358,6.28364274824454,14.9233296457671,2.4842066017749e-33,1.30030185071129e-31,65.0886616639601
"GHR",-3.81599010516981,7.63144322174317,-14.9036613306167,2.83477146190032e-33,1.47192673387712e-31,64.9572928206108
"SGCG",-2.82195138527734,5.63132714186277,-14.9023507382236,2.85981898076083e-33,1.47901634220145e-31,64.9485384177355
"TOP2A",2.48249132931935,5.87449164702975,14.8149895564644,5.14147324212458e-33,2.62761669905587e-31,64.3648018565176
"KLF4",-2.37635134840023,8.28356316078608,-14.7802122062776,6.49448406800276e-33,3.25501535470053e-31,64.1323234649212
"DGAT2",-3.3258508693181,8.32491335747642,-14.66430905857,1.41530119705604e-32,6.98556077527925e-31,63.357144062552
"THRSP",-3.40950652923108,7.93645067852542,-14.6475777367915,1.58382361869769e-32,7.72917834372736e-31,63.2451938447979
"NRN1",-2.38474974074302,7.58294845612933,-14.5867905545979,2.38373866252984e-32,1.12931794081386e-30,62.8383649259679
"FERMT2",-2.01586240693441,8.24992603693675,-14.4212648817475,7.26226365403861e-32,3.31941705961532e-30,61.7298160354987
"HCAR3",-2.673343423254,6.60141098448202,-14.3835657847477,9.36108927376444e-32,4.23401741682008e-30,61.477198494907
"CALB2",-2.64963480435247,7.15804944381788,-14.2508079016377,2.28961232020444e-31,1.01093392954333e-29,60.5872227450868
"KRT8",2.97373995655766,10.0319923117344,14.2432981853052,2.40847563420268e-31,1.05623047998598e-29,60.5368627597953
"TMEM170B",-2.35228098005989,5.67000314373179,-14.1886533160624,3.48101940687839e-31,1.50123298739829e-29,60.1703650231415
"LPL",-4.42677659951108,9.40016697052728,-14.1595819176329,4.23471852443359e-31,1.80825266992344e-29,59.9753510014087
"FMO2",-2.82018264685252,8.30423804380117,-14.103564696922,6.17827921220369e-31,2.60390397576675e-29,59.5995164578785
"RAB25",2.99502292506131,9.09615542957778,14.0709026656101,7.70076545245448e-31,3.18355529739846e-29,59.3803403986267
"COX7A1",-2.65283943438049,8.92195217536556,-14.0338733306418,9.8856893655935e-31,4.06095359666991e-29,59.1318259997716
"FABP4",-4.7310558380284,9.543107443878,-14.0040307735808,1.20903347420854e-30,4.95093486709814e-29,58.9315205320839
"CCNB1",2.42032380965721,6.31254706745602,13.9886911826378,1.3408595565095e-30,5.47348990661945e-29,58.8285521758175
"COL11A1",3.59328378164104,6.95359502192608,13.9747747943201,1.47285642564797e-30,5.99346371828724e-29,58.735132696564
"HSD11B1",-2.41614708898812,6.6752766806116,-13.9499688425196,1.74120747603471e-30,7.06331695200203e-29,58.5686022232533
"FGFBP2",-2.4726836287237,5.18802113979992,-13.9023073749571,2.40177476041528e-30,9.65245763620767e-29,58.2485997334403
"CDC20",2.82718427828912,7.10417698693856,13.8288756414844,3.94257355228512e-30,1.56032156348211e-28,57.755489812271
"GPR34",-2.5215428148465,7.90789986655797,-13.7980858883936,4.85340032570362e-30,1.90915120084723e-28,57.5487024130297
"CHRDL1",-4.16578415912242,7.99428571407768,-13.7606965407055,6.24698315723586e-30,2.41345501083568e-28,57.2975715658868
"CAV1",-2.92363394525366,9.63478465685323,-13.7460464766301,6.89646595445469e-30,2.65646957135835e-28,57.1991667675712
"FAM47E /// FAM47E-STBD1 /// STBD1",-2.05727950709905,7.38090143005401,-13.7367810619868,7.34167256850194e-30,2.8195932429504e-28,57.1369292364828
"PRSS8",2.89602822905813,7.78458448639632,13.6830881104288,1.05498644364602e-29,4.00432135233012e-28,56.7762416315378
"PPP1R14A",-2.72654190171118,6.61140621672427,-13.6567271542101,1.26053707534639e-29,4.7155711167353e-28,56.5991467506404
"FAM89A /// MIR1182",-2.51886626708495,7.12171088414697,-13.6248848975293,1.56294835825711e-29,5.81336178754602e-28,56.3852182393141
"MARVELD2",2.17302630869191,6.62882264463839,13.5810406257796,2.10156328868469e-29,7.72815667150593e-28,56.0906399758235
"PTTG1",2.13979902920221,8.49617018734172,13.5782224412984,2.14194684246396e-29,7.83228505972525e-28,56.0717047704757
"AKAP2 /// PALM2-AKAP2",-2.04177876330324,8.74143659010577,-13.516123230601,3.25810250432669e-29,1.15555815870669e-27,55.6544496475795
"BUB1B",2.44726716694754,6.42041581535861,13.464002083407,4.63300559092294e-29,1.62983863348972e-27,55.3042217975857
"OGN",-3.02713359513371,7.67450537702781,-13.458783965315,4.7992203590859e-29,1.68374809408903e-27,55.2691580367053
"PRC1",2.60725375722922,7.32546650693731,13.4379231065646,5.52546450344822e-29,1.92295052866652e-27,55.1289801387902
"ANXA1",-2.70975333364043,8.61962132486276,-13.3904666406031,7.61363780573761e-29,2.61461990360529e-27,54.8100849395285
"ESRP2 /// MIR6773",2.03140480346599,7.99569887420991,13.3246311161532,1.18779089335759e-28,4.01528999652991e-27,54.3676846694257
"SAA1 /// SAA2",-3.16330639356557,9.78016969886007,-13.2840897291136,1.56200155879916e-28,5.18576527743527e-27,54.0952581883803
"PRKAR2B",-3.05453326183452,9.46647386969507,-13.2808159690054,1.59693088036887e-28,5.28820401991539e-27,54.0732596521473
"P2RY14",-2.52299796282646,6.23361931336274,-13.2639994774199,1.78905135543961e-28,5.90933222518106e-27,53.9602592256053
"IFT80 /// TRIM59",2.11738170619935,5.72130266174623,13.263145112006,1.79940683376704e-28,5.92845180434772e-27,53.9545182431481
"EPDR1",-2.25929676899243,7.04587645999872,-13.1248325152968,4.58039075942743e-28,1.45374211364615e-26,53.0251702099368
"AP1M2",2.0141945068463,7.69573878081911,13.1063353087858,5.18997764962584e-28,1.64319755779983e-26,52.9008954107766
"ALDOC",-2.187578353816,7.74098647895641,-13.0958071091669,5.57250282034663e-28,1.75149295668086e-26,52.8301624894889
"ALDH2",-2.37689488247194,9.94186474300864,-13.0391751930071,8.16911766340449e-28,2.50102161293995e-26,52.449706528167
"G0S2",-3.86522247775317,9.32031178624648,-12.9897638352324,1.14053384669251e-27,3.41923091545391e-26,52.1177921534365
"CCL14 /// CCL15-CCL14",-2.21102671741431,8.92095484567242,-12.9700320113354,1.30311299354744e-27,3.87974994707325e-26,51.9852560916343
"KRT18",3.27123226282604,11.392537666821,12.9668462918311,1.33145247818418e-27,3.95505368862904e-26,51.9638585995326
"MGLL",-2.43150836727506,8.90597380700543,-12.8139730835762,3.73784527924928e-27,1.06172799934212e-25,50.9372707585322
"UBE2T",2.002576274798,6.81787956079981,12.7781569689303,4.76020453849558e-27,1.34330902422198e-25,50.6968249862462
"HOOK1",2.01504919446014,6.21997091567559,12.7429128082571,6.03868011601689e-27,1.68576573303259e-25,50.4602488006135
